id,value
id_000000,0
id_000001,7
id_000002,14
id_000003,21
id_000004,28
id_000005,35
id_000006,42
id_000007,49
id_000008,56
id_000009,63
id_000010,70
id_000011,77
id_000012,84
id_000013,91
id_000014,98
id_000015,105
id_000016,112
id_000017,119
id_000018,126
id_000019,133
id_000020,140
id_000021,147
id_000022,154
id_000023,161
id_000024,168
id_000025,175
id_000026,182
id_000027,189
id_000028,196
id_000029,203
id_000030,210
id_000031,217
id_000032,224
id_000033,231
id_000034,238
id_000035,245
id_000036,252
id_000037,259
id_000038,266
id_000039,273
id_000040,280
id_000041,287
id_000042,294
id_000043,301
id_000044,308
id_000045,315
id_000046,322
id_000047,329
id_000048,336
id_000049,343
id_000050,350
id_000051,357
id_000052,364
id_000053,371
id_000054,378
id_000055,385
id_000056,392
id_000057,399
id_000058,406
id_000059,413
id_000060,420
id_000061,427
id_000062,434
id_000063,441
id_000064,448
id_000065,455
id_000066,462
id_000067,469
id_000068,476
id_000069,483
id_000070,490
id_000071,497
id_000072,504
id_000073,511
id_000074,518
id_000075,525
id_000076,532
id_000077,539
id_000078,546
id_000079,553
id_000080,560
id_000081,567
id_000082,574
id_000083,581
id_000084,588
id_000085,595
id_000086,602
id_000087,609
id_000088,616
id_000089,623
id_000090,630
id_000091,637
id_000092,644
id_000093,651
id_000094,658
id_000095,665
id_000096,672
id_000097,679
id_000098,686
id_000099,693
id_000100,700
id_000101,707
id_000102,714
id_000103,721
id_000104,728
id_000105,735
id_000106,742
id_000107,749
id_000108,756
id_000109,763
id_000110,770
id_000111,777
id_000112,784
id_000113,791
id_000114,798
id_000115,805
id_000116,812
id_000117,819
id_000118,826
id_000119,833
id_000120,840
id_000121,847
id_000122,854
id_000123,861
id_000124,868
id_000125,875
id_000126,882
id_000127,889
id_000128,896
id_000129,903
id_000130,910
id_000131,917
id_000132,924
id_000133,931
id_000134,938
id_000135,945
id_000136,952
id_000137,959
id_000138,966
id_000139,973
id_000140,980
id_000141,987
id_000142,994
id_000143,1001
id_000144,1008
id_000145,1015
id_000146,1022
id_000147,1029
id_000148,1036
id_000149,1043
id_000150,1050
id_000151,1057
id_000152,1064
id_000153,1071
id_000154,1078
id_000155,1085
id_000156,1092
id_000157,1099
id_000158,1106
id_000159,1113
id_000160,1120
id_000161,1127
id_000162,1134
id_000163,1141
id_000164,1148
id_000165,1155
id_000166,1162
id_000167,1169
id_000168,1176
id_000169,1183
id_000170,1190
id_000171,1197
id_000172,1204
id_000173,1211
id_000174,1218
id_000175,1225
id_000176,1232
id_000177,1239
id_000178,1246
id_000179,1253
id_000180,1260
id_000181,1267
id_000182,1274
id_000183,1281
id_000184,1288
id_000185,1295
id_000186,1302
id_000187,1309
id_000188,1316
id_000189,1323
id_000190,1330
id_000191,1337
id_000192,1344
id_000193,1351
id_000194,1358
id_000195,1365
id_000196,1372
id_000197,1379
id_000198,1386
id_000199,1393
id_000200,1400
id_000201,1407
id_000202,1414
id_000203,1421
id_000204,1428
id_000205,1435
id_000206,1442
id_000207,1449
id_000208,1456
id_000209,1463
id_000210,1470
id_000211,1477
id_000212,1484
id_000213,1491
id_000214,1498
id_000215,1505
id_000216,1512
id_000217,1519
id_000218,1526
id_000219,1533
id_000220,1540
id_000221,1547
id_000222,1554
id_000223,1561
id_000224,1568
id_000225,1575
id_000226,1582
id_000227,1589
id_000228,1596
id_000229,1603
id_000230,1610
id_000231,1617
id_000232,1624
id_000233,1631
id_000234,1638
id_000235,1645
id_000236,1652
id_000237,1659
id_000238,1666
id_000239,1673
id_000240,1680
id_000241,1687
id_000242,1694
id_000243,1701
id_000244,1708
id_000245,1715
id_000246,1722
id_000247,1729
id_000248,1736
id_000249,1743
id_000250,1750
id_000251,1757
id_000252,1764
id_000253,1771
id_000254,1778
id_000255,1785
id_000256,1792
id_000257,1799
id_000258,1806
id_000259,1813
id_000260,1820
id_000261,1827
id_000262,1834
id_000263,1841
id_000264,1848
id_000265,1855
id_000266,1862
id_000267,1869
id_000268,1876
id_000269,1883
id_000270,1890
id_000271,1897
id_000272,1904
id_000273,1911
id_000274,1918
id_000275,1925
id_000276,1932
id_000277,1939
id_000278,1946
id_000279,1953
id_000280,1960
id_000281,1967
id_000282,1974
id_000283,1981
id_000284,1988
id_000285,1995
id_000286,2002
id_000287,2009
id_000288,2016
id_000289,2023
id_000290,2030
id_000291,2037
id_000292,2044
id_000293,2051
id_000294,2058
id_000295,2065
id_000296,2072
id_000297,2079
id_000298,2086
id_000299,2093
id_000300,2100
id_000301,2107
id_000302,2114
id_000303,2121
id_000304,2128
id_000305,2135
id_000306,2142
id_000307,2149
id_000308,2156
id_000309,2163
id_000310,2170
id_000311,2177
id_000312,2184
id_000313,2191
id_000314,2198
id_000315,2205
id_000316,2212
id_000317,2219
id_000318,2226
id_000319,2233
id_000320,2240
id_000321,2247
id_000322,2254
id_000323,2261
id_000324,2268
id_000325,2275
id_000326,2282
id_000327,2289
id_000328,2296
id_000329,2303
id_000330,2310
id_000331,2317
id_000332,2324
id_000333,2331
id_000334,2338
id_000335,2345
id_000336,2352
id_000337,2359
id_000338,2366
id_000339,2373
id_000340,2380
id_000341,2387
id_000342,2394
id_000343,2401
id_000344,2408
id_000345,2415
id_000346,2422
id_000347,2429
id_000348,2436
id_000349,2443
id_000350,2450
id_000351,2457
id_000352,2464
id_000353,2471
id_000354,2478
id_000355,2485
id_000356,2492
id_000357,2499
id_000358,2506
id_000359,2513
id_000360,2520
id_000361,2527
id_000362,2534
id_000363,2541
id_000364,2548
id_000365,2555
id_000366,2562
id_000367,2569
id_000368,2576
id_000369,2583
id_000370,2590
id_000371,2597
id_000372,2604
id_000373,2611
id_000374,2618
id_000375,2625
id_000376,2632
id_000377,2639
id_000378,2646
id_000379,2653
id_000380,2660
id_000381,2667
id_000382,2674
id_000383,2681
id_000384,2688
id_000385,2695
id_000386,2702
id_000387,2709
id_000388,2716
id_000389,2723
id_000390,2730
id_000391,2737
